heading_font,body_font,google_import,style,use_cases
Inter,Inter,Inter:wght@400;500;600;700,Modern,SaaS dashboards, tech products
Poppins,Open Sans,Poppins:wght@400;500;600;700&family=Open+Sans,Friendly,E-commerce, consumer apps
Playfair Display,Source Sans Pro,Playfair+Display:wght@400;500;600;700&family=Source+Sans+Pro,Elegant,Luxury brands, fashion
Montserrat,Roboto,Montserrat:wght@400;500;600;700&family=Roboto,Bold,Startups, modern brands
Oswald,Lato,Oswald:wght@400;500;600;700&family=Lato,Strong,News, editorial
Raleway,Nunito,Raleway:wght@400;500;600;700&family=Nunito,Airy,Lifestyle, wellness
Bebas Neue,Work Sans,Bebas+Neue&family=Work+Sans:wght@400;500;600,Impact,Posters, headlines
Cormorant Garamond,Crimson Text,Cormorant+Garamond:wght@400;500;600;700&family=Crimson+Text,Classic,Books, publishing
Space Grotesk,Space Mono,Space+Grotesk:wght@400;500;600;700&family=Space+Mono,Tech,Developer tools
Lexend,Public Sans,Lexend:wght@400;500;600;700&family=Public+Sans,Clean,Healthcare, education
Outfit,Outfit,Outfit:wght@400;500;600;700,Modern,Creative portfolios
Fraunces,Instrument Sans,Fraunces:wght@400;500;600;700&family=Instrument+Sans,Warm,Fintech, professional
Manrope,Manrope,Manrope:wght@400;500;600;700,Minimal,Data-heavy apps
Sora,Sora,Sora:wght@400;500;600;700,Geometric,Crypto, web3
Plus Jakarta Sans,Plus Jakarta Sans,Plus+Jakarta+Sans:wght@400;500;600;700,Professional,B2B SaaS
